"Name","Component","Side","Centre X","Centre Y","Rotation"
"J2","2WP","Top","1611","1483","180.00"
"J3","4WP","Top","1912","375","315.00"
"J4","4WP","Top","2104","739","0.00"
"PL1","26WDP","Top","1217","2119","270.00"
"C1","0603YC104KATDA","Top","784","1422","270.00"
"C8","0603YC104KATDA","Top","881","174","180.00"
"C25","0603YC104KATDA","Bottom","1251","870","90.00"
"C29","0603YC104KATDA","Bottom","1373","1138","270.00"
"C31","06033G104ZATDA","Bottom","1349","768","180.00"
"C33","06033G104ZATDA","Bottom","1464","921","270.00"
"X1","ABRACON_XTAL","Top","1672","795","270.00"
"U6","ADS1299","Top","1172","1403","270.00"
"B1","BATT","Bottom","1993","1477","180.00"
"C5","C","Top","873","1433","180.00"
"C6","C","Top","846","1370","270.00"
"C7","C","Top","846","1236","270.00"
"C10","C","Top","941","186","180.00"
"C12","C","Top","1351","1108","90.00"
"C13","C","Bottom","1125","1450","0.00"
"C14","C","Top","1351","1068","90.00"
"C15","C","Top","1473","1404","0.00"
"C16","C","Top","1508","1550","0.00"
"C17","C","Bottom","1163","1450","0.00"
"C18","C","Bottom","1181","1386","270.00"
"C19","C","Top","1509","1404","0.00"
"C20","C","Top","1646","949","90.00"
"C21","C","Bottom","1181","1348","270.00"
"C22","C","Bottom","1201","1450","0.00"
"C23","C","Top","1700","643","270.00"
"C24","C","Bottom","1239","1450","0.00"
"C27","C","Bottom","1299","1430","270.00"
"C28","C","Bottom","1299","1392","270.00"
"C30","C","Bottom","1356","923","90.00"
"C32","C","Bottom","1480","1128","90.00"
"C35","C","Bottom","1561","1127","270.00"
"C36","C","Bottom","1560","1042","180.00"
"C38","C","Bottom","1830","1092","0.00"
"C39","C","Bottom","1917","1006","90.00"
"C40","C","Bottom","1916","758","90.00"
"C37","C 10uF","Bottom","1618","1186","270.00"
"C2","C 100uF","Top","771","1307","90.00"
"C4","C 100uF","Bottom","789","196","315.00"
"R1","CAY16-F4 R-ARRAY","Top","796","1843","180.00"
"R2","CAY16-F4 R-ARRAY","Top","988","1842","180.00"
"R3","CAY16-F4 R-ARRAY","Top","1180","1843","180.00"
"R4","CAY16-F4 R-ARRAY","Top","1372","1842","180.00"
"R6","CAY16-F4 R-ARRAY","Top","1566","1842","180.00"
"LOGO1","CHIPKIT","Top","1414","454","0.00"
"C3","CKCL44X7R1H102M085AA","Bottom","794","1645","0.00"
"C9","CKCL44X7R1H102M085AA","Bottom","998","1645","0.00"
"C11","CKCL44X7R1H102M085AA","Bottom","1176","1645","0.00"
"C26","CKCL44X7R1H102M085AA","Bottom","1352","1645","0.00"
"C34","CKCL44X7R1H102M085AA","Bottom","1540","1645","0.00"
"SW2","CUS-3B SP3T SLIDE SWITCH","Bottom","2341","1196","90.00"
"D1","DI0603","Top","1810","702","0.00"
"D8","DI0603","Top","2247","1261","0.00"
"D9","DI0603","Bottom","1992","1111","180.00"
"U1","LIS3DHTR ACCELEROMETER","Top","885","312","180.00"
"U3","LM2664","Bottom","1459","784","180.00"
"U5","LP5907","Bottom","1935","879","180.00"
"U7","PIC32MX250F128B","Top","1321","780","90.00"
"J1","PINHEAD-8","Top","543","1205","315.00"
"D2","Quad TVS TPD4E1B06","Bottom","769","1961","0.00"
"D3","Quad TVS TPD4E1B06","Bottom","963","1963","0.00"
"D4","Quad TVS TPD4E1B06","Bottom","1165","1967","0.00"
"D5","Quad TVS TPD4E1B06","Bottom","1363","1969","0.00"
"D6","Quad TVS TPD4E1B06","Bottom","1563","1971","0.00"
"D7","Quad TVS TPD4E1B06","Bottom","1765","1973","0.00"
"D10","R","Bottom","2152","1098","0.00"
"R5","R","Top","1471","1549","180.00"
"R7","R","Top","1808","914","0.00"
"R8","R","Top","1863","708","0.00"
"R9","R","Top","1927","1467","270.00"
"R10","R","Top","2195","1101","180.00"
"R11","R","Bottom","2197","1098","180.00"
"BLE1","RFD22301","Bottom","1400","305","0.00"
"CONN1","SEEEDmicroSD","Bottom","564","561","315.00"
"PL2","SMT_QUAD_04","Bottom","308","1237","135.00"
"U2","SN74LVC1G32DCKR OR_GATE","Top","1000","565","0.00"
"SW1","SW_TACT","Top","1905","1331","0.00"
"SW3","SW_TACT","Top","1909","1002","180.00"
"U4","TLV700xx LDO REG","Bottom","1711","1072","90.00"
"VR1","TPS72325","Bottom","1436","1027","90.00"
